Title,List,Labels,Dependencies,Assignee,Description
"[Setup] Criar arquivo .gitignore e inicializar repositório Git local",A Fazer,Setup,Nenhuma,"Dev 1 (Full-stack)","Inicializar o repositório Git local no diretório do projeto. Criar um arquivo .gitignore padrão para projetos Python e Node/React, garantindo que arquivos como .env, arquivos de banco de dados (.db, .sqlite3), pastas temporárias (__pycache__, .pytest_cache) e node_modules nunca sejam comitados."
"[Setup] Criar arquivo requirements.txt com dependências do Backend",A Fazer,Setup,Nenhuma,"Dev 1 (Full-stack)","Criar o arquivo requirements.txt listando todas as dependências necessárias para o backend FastAPI, incluindo: fastapi, uvicorn[standard], sqlalchemy, pyjwt, passlib[bcrypt], bcrypt, reportlab, python-multipart, pytest, httpx e python-dotenv. Fixar as versões recomendadas para estabilidade."
"[Setup] Criar arquivo .env e arquivo de exemplo .env.example",A Fazer,Setup,Nenhuma,"Dev 2 (Full-stack)","Criar o arquivo local .env contendo chaves secretas padrão de desenvolvimento (SECRET_KEY, chaves SMTP mockadas, DATABASE_URL de teste local). Criar também o arquivo .env.example (sem os segredos preenchidos) para servir de documentação para futuros desenvolvedores do time."
"[Setup] Criar classe de configuração config.py com python-dotenv",A Fazer,Setup,"[Setup] Criar arquivo requirements.txt com dependências do Backend; [Setup] Criar arquivo .env e arquivo de exemplo .env.example","Dev 1 (Full-stack)","Criar o arquivo app/core/config.py que lê as variáveis de ambiente do arquivo .env utilizando a biblioteca python-dotenv. Criar uma classe Settings que declare os tipos das variáveis e forneça valores padrão seguros de fallback."
"[Setup] Criar arquivo de conexão com o banco de dados database.py",A Fazer,Setup,"[Setup] Criar classe de configuração config.py com python-dotenv","Dev 1 (Full-stack)","Criar o arquivo app/core/database.py configurando a conexão do SQLAlchemy. Configurar o engine para aceitar conexões SQLite locais em desenvolvimento (com a flag check_same_thread=False) e registrar o listener para habilitar validações de chaves estrangeiras (PRAGMA foreign_keys=ON)."
"[Setup] Configurar o arquivo docker-compose.yml para serviços de homologação",A Fazer,Setup,Nenhuma,"Dev 2 (Full-stack)","Criar o arquivo docker-compose.yml na raiz contendo a definição do container do FastAPI (API) na porta 8000, PostgreSQL como banco de dados principal, Redis como broker e Celery Worker para tarefas de e-mail em background, configurando volumes persistentes para os dados do Postgres."
"[Setup] Configurar suíte de testes com pytest e conftest.py",A Fazer,Setup,"[Setup] Criar arquivo requirements.txt com dependências do Backend; [Setup] Criar arquivo de conexão com o banco de dados database.py","Dev 1 (Full-stack)","Configurar o pytest criando a pasta tests/ e o arquivo conftest.py. O conftest.py deve definir os fixtures para criar um banco de dados SQLite em memória temporário para cada sessão de teste e prover um cliente HTTP assíncrono (HTTPX AsyncClient) configurado com o app FastAPI."
"[Auth - DB] Criar modelo SQLAlchemy de User (tabela usuarios)",A Fazer,"Autenticação, Banco de Dados","[Setup] Criar arquivo de conexão com o banco de dados database.py","Dev 2 (Full-stack)","Implementar a classe User herdando da base declarativa do SQLAlchemy em app/models/usuario.py. A tabela deve conter: id (PK), name, username (email/matrícula - único/indexado), password_hash, department (setor do hotel), profile (Cliente, Técnico, Supervisor, Gerente), must_change_password (booleano padrão True) e created_at."
"[Auth - Logic] Implementar funções utilitárias de criptografia (bcrypt)",A Fazer,Autenticação,"[Setup] Criar classe de configuração config.py com python-dotenv","Dev 1 (Full-stack)","Implementar em app/core/security.py o contexto passlib CryptContext configurado com algoritmo bcrypt. Criar a função get_password_hash(password) para gerar hashes de novas senhas e a função verify_password(plain_password, hashed_password) para validar credenciais no login."
"[Auth - Logic] Implementar geração e decodificação de Tokens JWT",A Fazer,Autenticação,"[Setup] Criar classe de configuração config.py com python-dotenv","Dev 1 (Full-stack)","Implementar em app/core/security.py a função create_access_token(data, expires_delta) usando a biblioteca jose para codificar claims JWT com tempo de expiração padrão (ex: 8 horas) e assinatura com a SECRET_KEY. Implementar também decode_access_token(token) para extração de claims de rotas seguras."
